Date,Open,High,Low,Close,Volume
03/04/2024,"413.44","417.35","412.32","414.92","17,595,961"
03/01/2024,"411.27","415.87","410.88","415.50","17,823,449"
02/29/2024,"408.64","414.20","405.92","413.64","31,947,260"
02/28/2024,"408.18","409.30","405.32","407.72","13,183,130"
02/27/2024,"407.99","408.32","403.85","407.48","14,835,830"
02/26/2024,"411.46","412.16","407.36","407.54","16,193,510"
02/23/2024,"415.67","415.86","408.97","410.34","16,295,880"
02/22/2024,"410.19","412.83","408.57","411.65","27,009,869"
02/21/2024,"400.17","402.29","397.22","402.18","18,631,070"
02/20/2024,"403.24","404.49","398.01","402.79","24,307,920"
02/16/2024,"407.96","408.29","403.44","404.06","22,296,500"
